iter	Passed	Remaining
893	27634	2967
894	27668	2936
895	27696	2905
896	27729	2874
897	27761	2844
898	27791	2813
899	27824	2782
900	27853	2751
901	27884	2720
902	27915	2689
903	27945	2658
904	27972	2627
905	28002	2596
906	28029	2565
907	28058	2533
908	28090	2503
909	28121	2472
910	28150	2441
911	28181	2410
912	28210	2379
913	28255	2349
914	28282	2318
915	28312	2287
916	28342	2256
917	28373	2225
918	28403	2194
919	28434	2163
920	28465	2132
921	28494	2101
922	28524	2070
923	28557	2039
924	28586	2008
925	28615	1977
926	28645	1946
927	28676	1915
928	28705	1884
929	28736	1853
930	28765	1822
931	28796	1792
932	28827	1761
933	28856	1730
934	28884	1699
935	28913	1668
936	28941	1637
937	28971	1606
938	28999	1575
939	29030	1544
940	29061	1513
941	29096	1482
942	29125	1451
943	29155	1420
944	29185	1389
945	29215	1358
946	29246	1327
947	29276	1297
948	29306	1266
949	29336	1235
950	29366	1204
951	29396	1173
952	29426	1142
953	29456	1111
954	29485	1080
955	29515	1049
956	29544	1018
957	29573	987
958	29602	956
959	29630	925
960	29661	895
961	29692	864
962	29721	833
963	29748	802
964	29779	771
965	29809	740
966	29839	709
967	29871	678
968	29900	648
969	29934	617
970	29965	586
971	29994	555
972	30023	524
973	30053	493
974	30085	462
975	30117	432
976	30147	401
977	30176	370
978	30207	339
979	30236	308
980	30267	277
981	30299	246
982	30329	215
983	30359	185
984	30388	154
985	30418	123
986	30451	92
987	30480	61
988	30509	30
989	30538	0
